Model;Param Combo;lb;ub;k_C;k_N;k_O;k_d;YX_CO2;YX_O2;YX_C;YX_N;Xmax;mu_max;pH_LL;pH_UL;I_val;t_lag;t_value_k_C;t_value_k_N;t_value_k_O;t_value_k_d;t_value_YX_CO2;t_value_YX_O2;t_value_YX_C;t_value_YX_N;t_value_Xmax;t_value_mu_max;t_value_pH_LL;t_value_pH_UL;t_value_I_val;t_value_t_lag;RMSE_X;NMRSE_X;MAPE_X;RMSE_C;NMRSE_C;MAPE_C;RMSE_N;NMRSE_N;MAPE_N;RMSE_pH;NMRSE_pH;MAPE_pH;RMSE;NMRSE;MAPE;AIC;BIC
Model_iteration_29;['Xmax', 'mu_max'];[1.15, 0.08];[1.2, 0.16];;;;;;;;;1.152807872;0.132614019;;;;;;;;;;;;;6756.096465;12589.21007;;;;;0.090806907;0.092566504;6.880890839;0.249036769;0.093312972;4.281909553;0.045921185;0.362010562;4.294934851;0.039652862;0.049566077;0.53885033;0.135965355;0.019534356;3.999146393;-155.6284133;-152.2506543
Model_iteration_16;['Xmax', 'mu_max'];[1.15, 0.08];[1.2, 0.16];;;;;;;;;1.15305683;0.130982194;;;;;;;;;;;;;6635.624039;12361.94394;;;;;0.090961083;0.092723667;6.827881925;0.248937552;0.093275795;4.334694411;0.04599596;0.362600038;4.302099919;0.04029815;0.050372687;0.549600471;0.135999442;0.019539253;4.003569181;-155.6083599;-152.230601
Model_iteration_20;['Xmax', 'mu_max'];[1.15, 0.08];[1.2, 0.16];;;;;;;;;1.150774835;0.130852678;;;;;;;;;;;;;6617.158398;12317.11881;;;;;0.09026361;0.092012679;6.783473167;0.249247186;0.093391814;4.381873067;0.046075963;0.363230724;4.311011478;0.040280773;0.050350967;0.549315275;0.136030524;0.019543719;4.006418247;-155.590078;-152.2123191
Model_iteration_5;['Xmax', 'pH_UL'];[1.15, 5.5];[1.2, 21.0];;;;;;;;;1.16040046;;;7.256990053;;;;;;;;;;;3582.149015;;;19446.4492;;;0.09338869;0.095198315;7.468649304;0.248336224;0.093050481;4.246917021;0.045629884;0.359714153;4.264487266;0.039538172;0.049422716;0.536984837;0.13604933;0.019546421;4.129259607;-155.579019;-152.2012601
Model_iteration_36;['Xmax', 'mu_max'];[1.15, 0.08];[1.2, 0.16];;;;;;;;;1.15743842;0.130437966;;;;;;;;;;;;;6589.074113;12312.08739;;;;;0.09244631;0.094237674;6.885998525;0.248517332;0.093118341;4.291035452;0.045883491;0.361713415;4.288980582;0.040707323;0.050884154;0.555371483;0.136078622;0.019550629;4.005346511;-155.5617966;-152.1840377
Model_iteration_33;['Xmax', 'mu_max'];[1.15, 0.08];[1.2, 0.16];;;;;;;;;1.155473537;0.13604432;;;;;;;;;;;;;7005.649406;13090.20075;;;;;0.091895233;0.093675919;7.056669617;0.249498873;0.09348612;4.251281334;0.045666854;0.360005598;4.268860266;0.038783463;0.048479329;0.518477445;0.136275493;0.019578914;4.023822166;-155.4461406;-152.0683817
Model_iteration_42;['Xmax'];[1.15];[1.2];;;;;;;;;1.152084339;;;;;;;;;;;;;;11243.81395;;;;;;0.09454907;0.09638118;8.313350625;0.256822389;0.096230209;4.734687176;0.045173743;0.356118251;4.222491286;0.038150994;0.047688742;0.492746987;0.139994135;0.020113177;4.440819019;-155.2923799;-153.6035004
Model_iteration_10;['Xmax'];[1.15];[1.2];;;;;;;;;1.152197655;;;;;;;;;;;;;;11243.74104;;;;;;0.094594156;0.09642714;8.317490835;0.256828522;0.096232507;4.733732542;0.045169976;0.356088561;4.222070639;0.038163125;0.047703906;0.493006603;0.140005085;0.02011475;4.441575155;-155.2861231;-153.5972437
Model_iteration_21;['Xmax', 'mu_max'];[1.15, 0.08];[1.2, 0.16];;;;;;;;;1.155343374;0.137882816;;;;;;;;;;;;;7130.0514;13340.95947;;;;;0.092106874;0.09389166;7.128968645;0.250105391;0.093713379;4.32056906;0.045584207;0.359354069;4.260878985;0.038405505;0.048006882;0.507176372;0.136555195;0.019619099;4.054398265;-155.2821109;-151.904352
Model_iteration_42;['YX_N', 'Xmax', 'pH_UL'];[10.0, 1.15, 5.5];[15.0, 1.2, 21.0];;;;;;;;12.08287455;1.176285581;;;6.820530661;;;;;;;;;;521.9178057;6187.493474;;;130465.8143;;;0.09466412;0.096498459;8.573558839;0.243131151;0.091100163;4.467352964;0.027079864;0.213478744;2.345018798;0.046344034;0.057930042;0.613686334;0.133187031;0.01913519;3.999904234;-155.2800713;-150.2134329
