Model,Param Combo,lb,ub,k_C,k_N,k_O,k_d,YX_CO2,YX_O2,YX_C,YX_N,Xmax,mu_max,pH_LL,pH_UL,I_val,t_lag,t_value_k_C,t_value_k_N,t_value_k_O,t_value_k_d,t_value_YX_CO2,t_value_YX_O2,t_value_YX_C,t_value_YX_N,t_value_Xmax,t_value_mu_max,t_value_pH_LL,t_value_pH_UL,t_value_I_val,t_value_t_lag,RMSE_X,NMRSE_X,MAPE_X,RMSE_C,NMRSE_C,MAPE_C,RMSE_N,NMRSE_N,MAPE_N,RMSE_pH,NMRSE_pH,MAPE_pH,RMSE,NMRSE,MAPE,AIC,BIC
Model_iteration_30,"['YX_N', 'Xmax', 'mu_max']","[10.4, 1.15, 0.13]","[10.6, 1.17, 0.15]",,,,,,,,10.4945089493,1.1526872976,0.1327527205,,,,,,,,,,,,687.4336453592,6749.3534914706,12586.5240546545,,,,,0.0907573085,0.0925159441,6.8871648411,0.2490279835,0.0933096797,4.2851329304,0.0256430060,0.2021515577,2.1495515357,0.0396417170,0.0495521463,0.5388290009,0.1346113434,0.0193398229,3.4651695770,-154.4290872356,-149.3624488732
Model_iteration_19,"['YX_N', 'Xmax', 'mu_max']","[10.4, 1.15, 0.13]","[10.6, 1.17, 0.15]",,,,,,,,10.5468528097,1.1533231097,0.1320030068,,,,,,,,,,,,679.8144079384,6696.7553407394,12488.5554649769,,,,,0.0909852349,0.0927482871,6.8714802166,0.2489084419,0.0932648880,4.2993730882,0.0256830845,0.2024675091,2.1611985609,0.0399464170,0.0499330213,0.5439750602,0.1346189645,0.0193409179,3.4690067315,-154.4245580870,-149.3579197247
Model_iteration_10,"['YX_N', 'Xmax', 'mu_max']","[10.4, 1.15, 0.13]","[10.6, 1.17, 0.15]",,,,,,,,10.4039905532,1.1512510645,0.1342755496,,,,,,,,,,,,701.8729950610,6857.1884503927,12784.6378729206,,,,,0.0902994762,0.0920492402,6.9182492412,0.2493633575,0.0934353428,4.2597261028,0.0255692174,0.2015698600,2.1373307650,0.0390683052,0.0488353816,0.5284639108,0.1346441577,0.0193445374,3.4609425049,-154.4095879560,-149.3429495937
Model_iteration_15,"['YX_N', 'Xmax', 'mu_max']","[10.4, 1.15, 0.13]","[10.6, 1.17, 0.15]",,,,,,,,10.4077138604,1.1553783332,0.1337002890,,,,,,,,,,,,700.9273562699,6822.1928888574,12740.2468478114,,,,,0.0916687008,0.0934449967,6.9687456267,0.2489152713,0.0932674470,4.2031137516,0.0256485940,0.2021956101,2.1455591776,0.0394508277,0.0493135346,0.5340845824,0.1346998341,0.0193525365,3.4628757846,-154.3765141952,-149.3098758328
Model_iteration_27,"['YX_N', 'Xmax', 'mu_max']","[10.4, 1.15, 0.13]","[10.6, 1.17, 0.15]",,,,,,,,10.4166397726,1.1562760778,0.1300285019,,,,,,,,,,,,677.5735065628,6551.1330837989,12234.3694563348,,,,,0.0920897280,0.0938741823,6.8555699891,0.2485941521,0.0931471250,4.3194048778,0.0259111414,0.2042653505,2.1757026210,0.0408839659,0.0511049574,0.5584676826,0.1347427701,0.0193587052,3.4772862926,-154.3510179750,-149.2843796126
Model_iteration_40,"['YX_N', 'Xmax', 'mu_max']","[10.4, 1.15, 0.13]","[10.6, 1.17, 0.15]",,,,,,,,10.4479476512,1.1588981253,0.1304827735,,,,,,,,,,,,680.2152899870,6593.4391581977,12324.7375553736,,,,,0.0929448483,0.0947458726,6.9166389397,0.2484009631,0.0930747379,4.2835180218,0.0258851036,0.2040600862,2.1722523519,0.0408094085,0.0510117607,0.5567356481,0.1347935734,0.0193660042,3.4822862404,-154.3208605437,-149.2542221814
Model_iteration_9,"['YX_N', 'Xmax', 'mu_max']","[10.4, 1.15, 0.13]","[10.6, 1.17, 0.15]",,,,,,,,10.5434003003,1.1564443746,0.1344856122,,,,,,,,,,,,697.6055184074,6884.1449883260,12864.8421611871,,,,,0.0920826485,0.0938669657,7.0165770971,0.2490098912,0.0933029006,4.1858293198,0.0255292594,0.2012548592,2.1366674265,0.0392762639,0.0490953299,0.5295915802,0.1347956862,0.0193663077,3.4671663559,-154.3196066109,-149.2529682485
Model_iteration_43,"['YX_N', 'Xmax', 'mu_max']","[10.4, 1.15, 0.13]","[10.6, 1.17, 0.15]",,,,,,,,10.5911589932,1.1572863594,0.1340790371,,,,,,,,,,,,692.5811666639,6895.0348758672,12850.7624343903,,,,,0.0923610896,0.0941508022,7.0159168247,0.2488926725,0.0932589793,4.1753005509,0.0255460852,0.2013875023,2.1446540821,0.0394451706,0.0493064633,0.5325553906,0.1348023157,0.0193672602,3.4671067121,-154.3156721598,-149.2490337974
Model_iteration_14,"['YX_N', 'Xmax', 'mu_max']","[10.4, 1.15, 0.13]","[10.6, 1.17, 0.15]",,,,,,,,10.4485546695,1.1586559943,0.1339119419,,,,,,,,,,,,701.8299690877,6849.2592082670,12808.6092599475,,,,,0.0928503303,0.0946495230,7.0336480875,0.2488190422,0.0932313903,4.1718513653,0.0256411017,0.2021365458,2.1440866983,0.0395828348,0.0494785435,0.5342923213,0.1348669405,0.0193765450,3.4709696181,-154.2773290303,-149.2106906680
Model_iteration_37,"['YX_N', 'Xmax', 'mu_max']","[10.4, 1.15, 0.13]","[10.6, 1.17, 0.15]",,,,,,,,10.5433709145,1.1514491060,0.1373108311,,,,,,,,,,,,711.2116483410,7068.4697355227,13204.3435489632,,,,,0.0906047602,0.0923604398,7.0407798253,0.2500273803,0.0936841492,4.3207463822,0.0252976501,0.1994290134,2.1198135488,0.0382838473,0.0478548091,0.5097782477,0.1349338148,0.0193861529,3.4977795010,-154.2376705078,-149.1710321455
